ID_empleado;Apellido;Nombre;Sucursal;Sector;Cargo;Salario;
3303;Jaramillo;Mauricio;MDQ1;Ventas;Vendedor;32000.00;0
3339;Melano;Adriana;MDQ1;Ventas;Vendedor;40000.00;0
3849;Mendez;Miguel;MDQ1;Ventas;Técnico;17000.00;0
3766;Ramirez;Natalia;MDQ1;Ventas;Vendedor;35000.00;0
3576;Girando;Camila;MDQ2;Ventas;Vendedor;36000.00;0
3430;Diez;Susana;MDQ2;Ventas;Administrativo;23000.00;0
3071;Sierra;Cathy;MDQ2;Ventas;Aux. Administrativo;13900.00;0
3842;Vallejo;Catalina;MDQ2;Ventas;Administrativo;57000.00;0
3979;Guerrero;Mariana;MDQ2;Ventas;Técnico;19000.00;0
3622;Guerra;Jacobo;MDQ2;Ventas;Técnico;13500.00;0
3643;Rodríguez ;Gabriel;MDQ2;Ventas;Vendedor;49000.00;0
3876;Marulanda;Sandra;Rosario1;Ventas;Vendedor;29400.00;0
3504;Palacio;Evelyn;Rosario1;Administración;Vendedor;13500.00;0
3708;Bermudez;Juan;Rosario1;Administración;Aux. Administrativo;13500.00;0
3700;Toledo;David;Rosario1;Administración;Administrativo;56000.00;0
3810;Diez;Santiago;Rosario1;Administración;Aux. Técnico;9800.00;0
3166;Sierra;Luis;Rosario1;Administración;Vendedor;29000.00;0
3412;Vallejo;José;Rosario1;Administración;Vendedor;46000.00;0
3346;Guerrero;Tomas;Rosario1;Administración;Vendedor;56000.00;0
3119;Guerra;Felipe;Rosario1;Ventas;Aux. Administrativo;13500.00;0
3537;Rodríguez ;Patricia;Rosario1;Ventas;Vendedor;13500.00;0
3603;Marulanda;Luisa;Rosario1;Ventas;Vendedor;19800.00;0
3054;Palacio;Sara;Rosario1;Ventas;Vendedor;21000.00;0
3751;Bermudez;Alejandra;Rosario2;Ventas;Vendedor;26000.00;0
3855;Toledo;Lisa;Rosario2;Ventas;Vendedor;31000.00;0
3743;Arango;Ana Maria;Rosario2;Ventas;Administrativo;56000.00;0
3919;Acevedo;Sofia;Rosario2;Ventas;Vendedor;38000.00;0
3144;Cock;Paula;Rosario2;Ventas;Aux. Administrativo;13500.00;0
3595;Casadiegos;Jesus;Rosario2;Derecho;Vendedor;32000.00;0
3816;Salamanca;Hernán;Rosario2;Derecho;Vendedor;47000.00;0
3433;Arango;Carmen;Rosario2;Derecho;Vendedor;32000.00;0
3603;Granda;Daniel;Rosario2;Derecho;Vendedor ;41000.00;0
3047;Arango ;Alberto;Rosario2;Derecho;Vendedor ;32000.00;0
3478;Arroyave;Elena;Córdoba Centro;Derecho;Vendedor ;39000.00;0
3905;Lemos;Sebastian;Córdoba Centro;Derecho;Administrativo;32000.00;0
3287;Jaramillo;Oscar;Córdoba Centro;Derecho;Vendedor;32000.00;0
3916;Lema;Julian;Córdoba Centro;Derecho;Vendedor;32000.00;0
3622;Caro;Marisa;Córdoba Centro;Publicidad;Vendedor;32000.00;0
3950;Vergara;Andrés;Córdoba Centro;Publicidad;Vendedor ;37000.00;0
3599;Duque;Miguel;Córdoba Centro;Publicidad;Vendedor ;36000.00;0
3875;Muñoz;Carolina;Córdoba Centro;Publicidad;Administrativo;42000.00;0
3110;Peláez;Jessica;Córdoba Centro;Publicidad;Vendedor ;36000.00;0
3728;Sanchez;Samuel;Córdoba Centro;Publicidad;Vendedor ;37000.00;0
3455;Cano;Gustavo;Cordoba Quiroz;Publicidad;Vendedor ;34000.00;0
3144;Marquez;Karina;Cordoba Quiroz;Administración;Administrativo;32000.00;0
3032;Rico;Julieta;Cordoba Quiroz;Administración;Vendedor;32000.00;0
3193;Mendez;Lina;Cordoba Quiroz;Administración;Vendedor;45000.00;0
3812;Jimenez;Carlos;Cordoba Quiroz;Administración;Vendedor;32000.00;0
3118;Osorio;Simón;Cordoba Quiroz;Administración;Vendedor;32000.00;0
3975;Villamizar;Monica;Cordoba Quiroz;Administración;Aux. Administrativo;15000.00;0
3886;Gomez;Melisa;Cordoba Quiroz;Administración;Vendedor;32000.00;0
3714;Gracía;Alejandra;Cordoba Quiroz;Diseño;Administrativo;42000.00;0
3822;Castro;Amalia;Cordoba Quiroz;Diseño;Vendedor;32000.00;0
3875;Uribe;Raquel;Cordoba Quiroz;Diseño;Vendedor;32000.00;0
3230;Florez;Gonzalo;Cordoba Quiroz;Diseño;Vendedor;32000.00;0
3671;Gutierrez;Santiago;Cordoba Quiroz;Diseño;Aux. Administrativo;15000.00;0
3929;Medina;Isabella;Cerro de las Rosas;Diseño;Vendedor;32000.00;0
3175;Betancur;Carla;Cerro de las Rosas;Comunicación;Administrativo;56000.00;0
3562;Betancurt;Hilda;Cerro de las Rosas;Comunicación;Vendedor;42000.00;0
3504;Marquez;Victoria;Cerro de las Rosas;Comunicación;Vendedor;56000.00;0
3796;Molina;Pablo;Cerro de las Rosas;Comunicación;Vendedor;65000.00;0
3588;Rodriguez;Pamela;Cerro de las Rosas;Comunicación;Vendedor;32000.00;0
3667;Hincapie;Estafania;Cerro de las Rosas;Ventas;Aux. Administrativo;13500.00;0
3578;Rojas ;Manuel;Mendoza 1;Ventas;Aux. Administrativo;12000.00;0
3076;Serna;Barbara;Mendoza 1;Ventas;Aux. Administrativo;16000.00;0
3877;Zapata;Leonardo;Mendoza 1;Ventas;Administrativo;41000.00;0
3022;Toro;Juliana;Mendoza 1;Ventas;Vendedor;32000.00;0
3875;Henao;Dinora;Mendoza 1;Ventas;Vendedor;32000.00;0
3371;Vasquez;Elisa;Mendoza 1;Ventas;Vendedor;32000.00;0
3836;Castrillón;Alicia;Mendoza 1;Ventas;Vendedor;32000.00;0
3561;Lopez;Carlos;Mendoza 1;Ventas;Técnico;28000.00;0
3212;Mota;Mauricio;Mendoza 1;Administración;Administrativo;25600.00;0
3773;Perez;Adriana;Mendoza 2;Administración;Administrativo;24000.00;0
3864;Posada;Miguel;Mendoza 2;Administración;Aux. Administrativo;13500.00;0
3346;Arango;Natalia;Mendoza 2;Administración;Vendedor;14600.00;0
3600;Hoyos;Camila;Mendoza 2;Administración;Vendedor;13500.00;0
3429;Suarez;Susana;Mendoza 2;Administración;Vendedor;13500.00;0
3734;Aristizabal;Catalina;Mendoza 2;Administración;Vendedor;15000.00;0
3249;Dominguez ;Catalina;Mendoza 2;Administración;Vendedor;13500.00;0
3613;Ruiz;Mariana;Bariloche;Administración;Vendedor;13500.00;0
3043;Higuita;Jacobo;Bariloche;Administración;Vendedor;13500.00;0
3205;Osorio;Gabriel;Bariloche;Administración;Vendedor;12800.00;0
3545;Gomez;Sandra;Bariloche;Administración;Técnico;13500.00;0
3842;Bustos;Evelyn;Bariloche;Administración;Aux. Administrativo;13500.00;0
3032;Rodas;Juan;Bariloche;Administración;Administrativo;56000.00;0
